* If the 17th wire is silver, cut the 10th wire.
* If the 20th wire is wine, cut the 20th wire.
* If there are exactly 18 gold wires, cut the 8th wire.
* If the 12th wire is pearl, cut the 11th wire.
* If there are exactly 14 caramel wires, cut the 11th wire.
* If there are more than 11 oyster wires, cut the 16th wire.
* If there are exactly 12 seaweed wires, cut the 5th wire.
* If there are more than 18 emerald wires, cut the 4th wire.
* If there are more than 14 fire wires, cut the 1st wire.
* If there are exactly 18 lapis wires, cut the 3rd wire.
* If the 11th wire is berry, cut the 2nd wire.
* If there is exactly 1 pineapple wire, cut the 12th wire.
* If there is exactly 1 blood wire, cut the 15th wire.
* If there are exactly 4 green wires, cut the 16th wire.
* If the 20th wire is fern, cut the 6th wire.
* If the 8th wire is berry, cut the 14th wire.
* If there are exactly 12 navy wires, cut the 5th wire.
* If the 4th wire is peach, cut the 9th wire.
* If there are more than 7 apricot wires, cut the 17th wire.
* If the 7th wire is obsidian, cut the 16th wire.
* If there are exactly 13 ruby wires, cut the 15th wire.
* If the 15th wire is black, cut the 8th wire.
* If there are exactly 17 grape wires, cut the 17th wire.
* If there are exactly 2 granola wires, cut the 16th wire.
* If there are exactly 15 macaroon wires, cut the 7th wire.
* If there are more than 8 iris wires, cut the 7th wire.
* If the 13th wire is cobalt, cut the 1st wire.
* If there are exactly 8 hickory wires, cut the 12th wire.
* If the 11th wire is wine, cut the 3rd wire.
* If the 8th wire is charcoal, cut the 10th wire.
* If the 13th wire is silver, cut the 10th wire.
* If the 16th wire is dijon, cut the 19th wire.
* If there are more than 9 caramel wires, cut the 4th wire.
* If there are exactly 9 squash wires, cut the 5th wire.
* If the 16th wire is tortilla, cut the 7th wire.
* If the 4th wire is white, cut the 18th wire.
* If there are exactly 16 hickory wires, cut the 2nd wire.
* If there are exactly 5 coconut wires, cut the 2nd wire.
* If there are more than 19 fawn wires, cut the 13th wire.
* If there are exactly 14 white wires, cut the 12th wire.
* If the 10th wire is buttermilk, cut the 1st wire.
* If there are exactly 17 orange wires, cut the 12th wire.
* If there are exactly 19 gray wires, cut the 7th wire.
* If there are exactly 5 banana wires, cut the 16th wire.
* If the 10th wire is marigold, cut the 9th wire.
* If there are exactly 12 red wires, cut the 14th wire.
* If the 4th wire is ivory, cut the 12th wire.
* If there are exactly 15 carrot wires, cut the 5th wire.
* If there are exactly 11 bronze wires, cut the 6th wire.
* If there are exactly 9 corn wires, cut the 4th wire.
* If there are exactly 13 marigold wires, cut the 17th wire.
* If there are exactly 12 white wires, cut the 17th wire.
* If there are more than 7 carrot wires, cut the 18th wire.
* If the 10th wire is seaweed, cut the 15th wire.
* If the 16th wire is pickle, cut the 16th wire.
* If the 16th wire is green, cut the 4th wire.
* If there are exactly 13 rust wires, cut the 18th wire.
* If there are exactly 15 porcelain wires, cut the 3rd wire.
* If there are exactly 2 cobalt wires, cut the 4th wire.
* If there are exactly 2 blood wires, cut the 16th wire.
* If there are exactly 18 sandstone wires, cut the 8th wire.
* If there are more than 8 candy wires, cut the 2nd wire.
* If there are more than 9 violet wires, cut the 11th wire.
* If the 16th wire is green, cut the 14th wire.
* If there are exactly 17 arctic wires, cut the 1st wire.
* If there are exactly 18 wood wires, cut the 1st wire.
* If there are exactly 12 fern wires, cut the 8th wire.
* If the 10th wire is orchid, cut the 14th wire.
* If there are exactly 11 dijon wires, cut the 14th wire.
* If there are exactly 19 rose wires, cut the 13th wire.
* If there are exactly 12 crimson wires, cut the 10th wire.
* If there are exactly 6 stone wires, cut the 13th wire.
* If the 20th wire is green, cut the 20th wire.
* If there are exactly 6 rose wires, cut the 15th wire.
* If the 16th wire is cloud, cut the 5th wire.
* If there are exactly 5 gold wires, cut the 19th wire.
* If the 5th wire is fawn, cut the 11th wire.
* If there are more than 12 green wires, cut the 14th wire.
* If there are exactly 12 squash wires, cut the 13th wire.
* If the 15th wire is rouge, cut the 12th wire.
* If the 8th wire is watermelon, cut the 18th wire.
* If the 20th wire is tan, cut the 5th wire.
* If there are exactly 17 orchid wires, cut the 9th wire.
* If the 17th wire is dijon, cut the 3rd wire.
* If there are exactly 20 rouge wires, cut the 13th wire.
* If there are more than 14 rouge wires, cut the 9th wire.
* If there are exactly 12 teal wires, cut the 19th wire.
* If there are exactly 15 red wires, cut the 15th wire.
* If the 13th wire is sand, cut the 3rd wire.
* If the 11th wire is obsidian, cut the 15th wire.
* If there are exactly 10 macaroon wires, cut the 20th wire.
* If the 3rd wire is gray, cut the 4th wire.
* If the 14th wire is bone, cut the 7th wire.
* If there are exactly 9 marmalade wires, cut the 13th wire.
* If there are more than 15 navy wires, cut the 7th wire.
* If there are exactly 16 apricot wires, cut the 5th wire.
* If there are exactly 14 scarlet wires, cut the 11th wire.
* If the 8th wire is fawn, cut the 5th wire.
* If there are exactly 20 gray wires, cut the 14th wire.
* If there are more than 7 apricot wires, cut the 8th wire.
* If there are exactly 10 arctic wires, cut the 8th wire.
* If there are exactly 4 silver wires, cut the 2nd wire.
* If the 7th wire is basil, cut the 13th wire.
* If there are exactly 7 silver wires, cut the 5th wire.
* If the 1st wire is dijon, cut the 20th wire.
* If the 4th wire is pineapple, cut the 14th wire.
* If the 10th wire is ruby, cut the 1st wire.
* If there are exactly 19 pearl wires, cut the 9th wire.
* If the 8th wire is fern, cut the 17th wire.
* If there are exactly 7 bronze wires, cut the 2nd wire.
* If the 6th wire is rose, cut the 19th wire.
* If there are exactly 18 rose wires, cut the 1st wire.
* If there is exactly 1 basil wire, cut the 6th wire.
* If there are exactly 8 white wires, cut the 5th wire.
* If there are exactly 11 crepe wires, cut the 3rd wire.
* If there are exactly 4 ash wires, cut the 7th wire.
* If the 3rd wire is orchid, cut the 18th wire.
* If there are exactly 5 bubblegum wires, cut the 15th wire.
* If the 2nd wire is shortbread, cut the 5th wire.
* If there are exactly 6 gold wires, cut the 20th wire.
* If there are exactly 19 hickory wires, cut the 10th wire.
* If the 15th wire is yellow, cut the 12th wire.
* If there are exactly 13 iris wires, cut the 4th wire.
* If the 10th wire is daisy, cut the 10th wire.
* If the 4th wire is chiffon, cut the 20th wire.
* If there are more than 13 hazelnut wires, cut the 3rd wire.
* If there are exactly 16 macaroon wires, cut the 6th wire.
* If there are more than 14 ivory wires, cut the 6th wire.
* If the 11th wire is cotton, cut the 13th wire.
* If there are exactly 9 squash wires, cut the 20th wire.
* If the 10th wire is cherry, cut the 18th wire.
* If there are exactly 2 sandstone wires, cut the 16th wire.
* If the 5th wire is arctic, cut the 5th wire.
* If there are more than 14 violet wires, cut the 12th wire.
* If there are more than 14 orchid wires, cut the 11th wire.
* If there are exactly 8 peach wires, cut the 4th wire.
* If the 10th wire is navy, cut the 16th wire.
* If there are exactly 13 arctic wires, cut the 20th wire.
* If there are more than 19 dijon wires, cut the 11th wire.
* If there is exactly 1 coral wire, cut the 11th wire.
* If there are exactly 16 marigold wires, cut the 2nd wire.
* If there are exactly 18 lapis wires, cut the 10th wire.
* If there are more than 16 rouge wires, cut the 10th wire.
* If there are exactly 2 peach wires, cut the 15th wire.
* If there are exactly 6 gold wires, cut the 5th wire.
* If there are exactly 9 azure wires, cut the 12th wire.
* If there are exactly 18 azure wires, cut the 15th wire.
* If there are exactly 16 butter wires, cut the 14th wire.
* If there are exactly 17 oyster wires, cut the 13th wire.
* If there are more than 16 gold wires, cut the 14th wire.
* If there are exactly 5 coffee wires, cut the 13th wire.
* If there are exactly 4 eggplant wires, cut the 12th wire.
* If the 2nd wire is grape, cut the 17th wire.
* If there are exactly 5 crimson wires, cut the 15th wire.
* If there are exactly 18 tan wires, cut the 12th wire.
* If there are exactly 8 bubblegum wires, cut the 11th wire.
* If there are exactly 13 rose wires, cut the 9th wire.
* If there are exactly 5 white wires, cut the 16th wire.
* If the 5th wire is watermelon, cut the 20th wire.
* If there are exactly 9 violet wires, cut the 7th wire.
* If the 17th wire is pink, cut the 7th wire.
* If there are more than 10 lapis wires, cut the 3rd wire.
* If there are exactly 19 watermelon wires, cut the 7th wire.
* If the 14th wire is green, cut the 11th wire.
* If the 5th wire is blush, cut the 18th wire.
* If there are exactly 4 sandstone wires, cut the 12th wire.
* If the 8th wire is charcoal, cut the 16th wire.
* If the 13th wire is crepe, cut the 3rd wire.
* If there are exactly 18 bronze wires, cut the 10th wire.
* If there are exactly 16 fawn wires, cut the 5th wire.
* If there are exactly 12 candy wires, cut the 15th wire.
* If there are exactly 11 jade wires, cut the 13th wire.
* If there are exactly 13 chiffon wires, cut the 20th wire.
* If there are exactly 7 sage wires, cut the 6th wire.
* If the 18th wire is green, cut the 1st wire.
* If the 10th wire is charcoal, cut the 4th wire.
* If the 9th wire is honey, cut the 9th wire.
* If there are exactly 12 blood wires, cut the 12th wire.
* If the 1st wire is banana, cut the 8th wire.
* If there are exactly 5 teal wires, cut the 7th wire.
* If there are exactly 10 orange wires, cut the 15th wire.
* If there are exactly 17 blush wires, cut the 5th wire.
* If there are exactly 9 lapis wires, cut the 15th wire.
* If there are more than 19 pear wires, cut the 10th wire.
* If the 7th wire is pear, cut the 20th wire.
* If the 18th wire is blush, cut the 2nd wire.
* If the 16th wire is chiffon, cut the 19th wire.
* If the 17th wire is orchid, cut the 4th wire.
* If there are exactly 17 pink wires, cut the 17th wire.
* If the 6th wire is blood, cut the 9th wire.
* If the 19th wire is grape, cut the 19th wire.
* If the 9th wire is cherry, cut the 18th wire.
* If there are exactly 4 basil wires, cut the 4th wire.
* If there are more than 10 violet wires, cut the 15th wire.
* If there are exactly 14 rosewood wires, cut the 4th wire.
* If there are exactly 4 arctic wires, cut the 11th wire.
* If the 8th wire is honey, cut the 18th wire.
* If there are exactly 12 flint wires, cut the 14th wire.
* If there are exactly 3 violet wires, cut the 13th wire.
* If there are exactly 2 jade wires, cut the 5th wire.
* If there are more than 15 shamrock wires, cut the 5th wire.
* If the 7th wire is cotton, cut the 14th wire.
* If there are exactly 2 rosewood wires, cut the 4th wire.
* If there are exactly 2 blush wires, cut the 17th wire.
* If the 17th wire is hazelnut, cut the 13th wire.
* If the 3rd wire is rust, cut the 15th wire.
* If there are exactly 5 candy wires, cut the 7th wire.
* If there are exactly 15 teal wires, cut the 19th wire.
* If there are exactly 5 iris wires, cut the 4th wire.
* If the 14th wire is brown, cut the 13th wire.
* If the 17th wire is crepe, cut the 15th wire.
* If there are exactly 20 coffee wires, cut the 9th wire.
* If the 11th wire is candy, cut the 15th wire.
* If the 7th wire is scarlet, cut the 9th wire.
* If there are exactly 8 coffee wires, cut the 17th wire.
* If there are exactly 19 hickory wires, cut the 4th wire.
* If there are exactly 18 cloud wires, cut the 17th wire.
* If there are more than 17 chocolate wires, cut the 4th wire.
* If there are exactly 5 bronze wires, cut the 13th wire.
* If the 4th wire is teal, cut the 1st wire.
* If there are exactly 20 iris wires, cut the 13th wire.
* If the 8th wire is ash, cut the 10th wire.
* If there are more than 12 sand wires, cut the 4th wire.
* If the 3rd wire is chiffon, cut the 15th wire.
* If there are exactly 8 red wires, cut the 18th wire.
* If the 18th wire is carrot, cut the 7th wire.
* If the 18th wire is stone, cut the 10th wire.
* If the 2nd wire is pink, cut the 19th wire.
* If there are exactly 15 tiger wires, cut the 7th wire.
* If there are more than 16 lime wires, cut the 17th wire.
* If there are exactly 20 caramel wires, cut the 19th wire.
* If there are exactly 18 violet wires, cut the 4th wire.
* If the 1st wire is sage, cut the 16th wire.
* If there are more than 8 corn wires, cut the 5th wire.
* If the 2nd wire is penny, cut the 19th wire.
* If there are exactly 4 teal wires, cut the 10th wire.
* If the 2nd wire is iris, cut the 18th wire.
* If the 8th wire is iris, cut the 5th wire.
* If there are more than 18 sage wires, cut the 1st wire.
* If the 12th wire is red, cut the 11th wire.
* If the 19th wire is tiger, cut the 8th wire.
* If there are exactly 13 sage wires, cut the 19th wire.
* If the 6th wire is lime, cut the 4th wire.
* If there are exactly 8 flint wires, cut the 20th wire.
* If there are exactly 18 ruby wires, cut the 20th wire.
* If the 19th wire is corn, cut the 12th wire.
* If there are more than 12 honey wires, cut the 12th wire.
* If there are exactly 6 watermelon wires, cut the 16th wire.
* If the 5th wire is marmalade, cut the 8th wire.
* If there are exactly 18 porcelain wires, cut the 13th wire.
* If there are exactly 8 pineapple wires, cut the 19th wire.
* If there are exactly 17 tiger wires, cut the 10th wire.
* If there is exactly 1 azure wire, cut the 6th wire.
* If there are exactly 16 teal wires, cut the 17th wire.
* If the 7th wire is sky, cut the 20th wire.
* If there are exactly 20 hazelnut wires, cut the 16th wire.
* If there are exactly 7 magenta wires, cut the 12th wire.
* If there are more than 13 crimson wires, cut the 20th wire.
* If the 17th wire is green, cut the 3rd wire.
* If there are exactly 11 rosewood wires, cut the 1st wire.
* If the 10th wire is corn, cut the 15th wire.
* If the 19th wire is dijon, cut the 14th wire.
* If there are exactly 5 gray wires, cut the 10th wire.
* If there are exactly 16 macaroon wires, cut the 16th wire.
* If there are exactly 19 bronze wires, cut the 8th wire.
* If the 9th wire is pink, cut the 13th wire.
* If there are exactly 10 marmalade wires, cut the 1st wire.
* If the 8th wire is hazelnut, cut the 4th wire.
* If the 19th wire is bronze, cut the 13th wire.
* If there are exactly 2 coconut wires, cut the 10th wire.
* If the 8th wire is sage, cut the 7th wire.
* If there are exactly 16 buttermilk wires, cut the 7th wire.
* If the 14th wire is chiffon, cut the 19th wire.
* If the 10th wire is brown, cut the 16th wire.
* If there are exactly 6 rosewood wires, cut the 8th wire.
* If there are more than 17 pear wires, cut the 9th wire.
* If there are more than 10 magenta wires, cut the 8th wire.
* If there are exactly 12 peach wires, cut the 15th wire.
* If there are exactly 2 teal wires, cut the 13th wire.
* If the 19th wire is buttermilk, cut the 13th wire.
* If the 1st wire is honey, cut the 3rd wire.
* If there are exactly 8 granola wires, cut the 19th wire.
* If there are exactly 20 teal wires, cut the 6th wire.
* If the 15th wire is white, cut the 14th wire.
* If there are more than 16 granola wires, cut the 13th wire.
* If the 11th wire is pink, cut the 2nd wire.
* If there are more than 16 candy wires, cut the 15th wire.
* If the 19th wire is apricot, cut the 14th wire.
* If there are exactly 19 candy wires, cut the 20th wire.
* If there are more than 12 watermelon wires, cut the 1st wire.
* If there are exactly 5 honey wires, cut the 11th wire.
* If there are exactly 16 shortbread wires, cut the 8th wire.
* If there are more than 13 pickle wires, cut the 1st wire.
* If there are exactly 9 plum wires, cut the 2nd wire.
* If the 1st wire is iris, cut the 8th wire.
* If there are exactly 16 coconut wires, cut the 10th wire.
* If there are exactly 17 green wires, cut the 19th wire.
* If the 11th wire is dijon, cut the 13th wire.
* If there are exactly 15 grape wires, cut the 15th wire.
* If the 11th wire is orchid, cut the 1st wire.
* If there are more than 7 rouge wires, cut the 3rd wire.
* If there is exactly 1 seaweed wire, cut the 13th wire.
* If there are exactly 16 cotton wires, cut the 16th wire.
* If the 16th wire is shortbread, cut the 3rd wire.
* If there are exactly 19 black wires, cut the 3rd wire.
* If there are exactly 7 marigold wires, cut the 9th wire.
* If the 16th wire is granola, cut the 4th wire.
* If there are exactly 19 scarlet wires, cut the 12th wire.
* If the 5th wire is berry, cut the 9th wire.
* If there are exactly 5 sandstone wires, cut the 1st wire.
* If the 5th wire is pearl, cut the 16th wire.
* If there are exactly 4 candy wires, cut the 10th wire.
* If the 2nd wire is coral, cut the 8th wire.
* If the 2nd wire is basil, cut the 5th wire.
* If the 1st wire is pearl, cut the 5th wire.
* If there are exactly 14 arctic wires, cut the 3rd wire.
* If the 15th wire is azure, cut the 15th wire.
* If there are exactly 7 teal wires, cut the 4th wire.
* If the 8th wire is honey, cut the 7th wire.
* If there are more than 7 hickory wires, cut the 11th wire.
* If there is exactly 1 bone wire, cut the 13th wire.
* If there are exactly 16 scarlet wires, cut the 17th wire.
* If there are exactly 16 iron wires, cut the 4th wire.
* If there are exactly 18 pearl wires, cut the 2nd wire.
* If the 20th wire is lead, cut the 18th wire.
* If the 20th wire is scarlet, cut the 12th wire.
* If there are exactly 19 caramel wires, cut the 16th wire.
* If there are exactly 13 macaroon wires, cut the 8th wire.
* If there are exactly 2 jade wires, cut the 16th wire.
* If there are exactly 9 lead wires, cut the 17th wire.
* If there are exactly 18 macaroon wires, cut the 18th wire.
* If there are exactly 2 jade wires, cut the 19th wire.
* If the 16th wire is banana, cut the 7th wire.
* If there are exactly 10 cherry wires, cut the 12th wire.
* If there are exactly 14 tiger wires, cut the 4th wire.
* If there are exactly 16 sky wires, cut the 20th wire.
* If the 8th wire is marigold, cut the 4th wire.
* If there are exactly 15 rouge wires, cut the 19th wire.
* If there are exactly 6 banana wires, cut the 20th wire.
* If there are exactly 20 pear wires, cut the 14th wire.
* If there are exactly 8 magenta wires, cut the 13th wire.
* If the 16th wire is ivory, cut the 5th wire.
* If the 5th wire is iron, cut the 8th wire.
* If there are exactly 6 pearl wires, cut the 6th wire.
* If there are exactly 18 lime wires, cut the 20th wire.
* If the 13th wire is fawn, cut the 16th wire.
* If there are exactly 11 charcoal wires, cut the 15th wire.
* If the 13th wire is hazelnut, cut the 16th wire.
* If there are exactly 7 porcelain wires, cut the 1st wire.
* If there are more than 15 purple wires, cut the 11th wire.
* If the 10th wire is brown, cut the 9th wire.
* If there are exactly 5 sage wires, cut the 8th wire.
* If the 2nd wire is jade, cut the 17th wire.
* If there is exactly 1 tan wire, cut the 2nd wire.
* If the 2nd wire is jade, cut the 5th wire.
* If there are exactly 8 rose wires, cut the 5th wire.
* If the 18th wire is lead, cut the 7th wire.
* If there are exactly 2 charcoal wires, cut the 5th wire.
* If the 11th wire is marmalade, cut the 5th wire.
* If the 14th wire is crepe, cut the 9th wire.
* If the 7th wire is sky, cut the 5th wire.
* If the 19th wire is candy, cut the 9th wire.
* If there is exactly 1 grape wire, cut the 11th wire.
* If there are more than 16 lapis wires, cut the 2nd wire.
* If there are exactly 14 crimson wires, cut the 16th wire.
* If the 8th wire is yellow, cut the 11th wire.
* If there are exactly 5 purple wires, cut the 11th wire.
* If there are exactly 16 tiger wires, cut the 11th wire.
* If there are exactly 6 tan wires, cut the 19th wire.
* If there are more than 15 crimson wires, cut the 18th wire.
* If there are exactly 18 wood wires, cut the 6th wire.
* If the 8th wire is brown, cut the 20th wire.
* If there are exactly 12 penny wires, cut the 2nd wire.
* If the 1st wire is grape, cut the 20th wire.
* If the 5th wire is silver, cut the 19th wire.
* If the 4th wire is caramel, cut the 11th wire.
* If there are exactly 2 stone wires, cut the 15th wire.
* If there are exactly 7 chocolate wires, cut the 20th wire.
* If the 18th wire is blush, cut the 6th wire.
* If the 8th wire is teal, cut the 3rd wire.
* If there are exactly 15 cobalt wires, cut the 5th wire.
* If the 3rd wire is ruby, cut the 15th wire.
* If there are exactly 8 gold wires, cut the 18th wire.
* If there are exactly 15 orchid wires, cut the 15th wire.
* If there is exactly 1 butter wire, cut the 2nd wire.
* If there are exactly 17 rouge wires, cut the 12th wire.
* If the 20th wire is peach, cut the 20th wire.
* If the 10th wire is coconut, cut the 5th wire.
* If the 20th wire is emerald, cut the 17th wire.
* If there are more than 7 plum wires, cut the 19th wire.
* If the 4th wire is penny, cut the 11th wire.
* If there is exactly 1 charcoal wire, cut the 19th wire.
* If there are exactly 6 coconut wires, cut the 14th wire.
* If there are exactly 10 sand wires, cut the 9th wire.
* If there are exactly 3 hazelnut wires, cut the 18th wire.
* If there are exactly 20 marmalade wires, cut the 18th wire.
* If there are more than 7 basil wires, cut the 13th wire.
* If there are exactly 11 pink wires, cut the 2nd wire.
* If there are exactly 10 honey wires, cut the 7th wire.
* If the 12th wire is blood, cut the 19th wire.
* If there are exactly 19 amethyst wires, cut the 17th wire.
* If there are exactly 4 amethyst wires, cut the 16th wire.
* If there is less than 1 red wire, cut the 4th wire.
* If there are exactly 7 fern wires, cut the 7th wire.
* If there are more than 15 charcoal wires, cut the 1st wire.
* If there are exactly 2 cobalt wires, cut the 18th wire.
* If there are exactly 12 honey wires, cut the 17th wire.
* If there are exactly 5 azure wires, cut the 15th wire.
* If the 5th wire is shamrock, cut the 5th wire.
* If there are exactly 17 bone wires, cut the 12th wire.
* If there are exactly 9 gray wires, cut the 14th wire.
* If there are exactly 13 candy wires, cut the 20th wire.
* If the 3rd wire is cloud, cut the 6th wire.
* If there are exactly 10 cotton wires, cut the 12th wire.
* If there are exactly 15 rouge wires, cut the 12th wire.
* If there are exactly 5 rust wires, cut the 7th wire.
